date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:24	873436/873436	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22581332ba-d53dc%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/font/fmr_icon.woff?g3tn2c	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/font/fmr_icon51e4.woff	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/css/main.css)
19:44:32	45887/45887	---M--	200	added ('OK')	image/jpeg	etag:%22581332e8-b33f%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/bar.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/bar.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Places.html)
19:44:36	873360/873360	---M--	200	added ('OK')	application/octet-stream	etag:%22581332b8-d5390%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/font/fmr_icon.ttf?g3tn2c	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/font/fmr_icon51e4.ttf	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/css/main.css)
19:44:39	22143/22143	---M--	200	added ('OK')	image/jpeg	etag:%2258133308-567f%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/place-category-6.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/place-category-6.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Places.html)
19:44:40	77430/77430	---M--	200	added ('OK')	image/jpeg	etag:%22581332ea-12e76%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/cinema.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/cinema.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Places.html)
19:44:42	22655/22655	---M--	200	added ('OK')	image/jpeg	etag:%2258133308-587f%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/place-category-7.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/place-category-7.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Places.html)
19:44:44	17042/17042	---M--	200	added ('OK')	image/jpeg	etag:%2258133309-4292%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/place-category-8.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/place-category-8.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Places.html)
19:44:46	39952/39952	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202016%2013:45:20%20GMT	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Single-Place2.html	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/Single-Place2.html	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Single-Place.html)
19:44:50	6794/6794	---M--	200	added ('OK')	image/jpeg	etag:%22581332f0-1a8a%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/menu-1.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/menu-1.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Single-Place.html)
19:44:50	202276/202276	---M--	200	added ('OK')	image/jpeg	etag:%2258133312-31624%22	http://city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/s-bar.jpg	/tmp/www.all.net/city2.wpmix.net/htmlgit/cityevents_ajaxed/img/src/s-bar.jpg	(from http://city2.wpmix.net/htmlgit/cityevents_ajaxed/Places.html)
